gb,gi,sp,dbj,no_uniprot,tr,gnl,gpp,ref,emb
A1IVR7,332319762.0,A1IVR7,,,,,,,
A1IVR8,332319760.0,A1IVR8,,,,,,,
A1IVR9,332319761.0,A1IVR9,,,,,,,
A8S6A8,254772667.0,A8S6A8,,,,,,,
A8S6B0,254772671.0,A8S6B0,,,,,,,
AAL87469,29465644.0,O42257,,,,,,,
AB015513,3551477.0,P01379,AB015513,,,,,,
AB017947,4519845.0,P10455,AB017947,,,,,,
AB017957,4519865.0,Q9YGW8,AB017957,,,,,,
AB017965,4519881.0,,AB017965,yes,,,,,
AB098530,32140568.0,Q7T2I5,AB098530,,,,,,
AB098533,32140573.0,Q7T2I3,AB098533,,,,,,
AB778566,527102719.0,,AB778566,,S6CB76,,,,
AB851958,547223048.0,,AB851958,,U3T794,,,,
ABW24175,158262796.0,A8S6A8,,,,,,,
ABX58151,161138370.0,B2BRQ5,,,,,,,
ABX58152,161138372.0,B2BRQ6,,,,,,,
ABX58154,161138376.0,,,,B2BRQ8,,,,
ABX58155,161138378.0,,,,B2BRQ9,,,,
ABX58156,161138380.0,,,,B2BRR0,,,,
ABX58157,161138382.0,,,,B2BRR1,,,,
ABX58158,161138384.0,,,,B2BRR2,,,,
ABX58159,161138386.0,,,,B2BRR3,,,,
ABX58160,161138388.0,,,,B2BRR4,,,,
ABX58161,161138390.0,,,,B2BRR5,,,,
ABX58162,161138392.0,,,,B2BRR6,,,,
ABX58163,161138394.0,,,,B2BRR7,,,,
ABX58164,161138396.0,,,,B2BRR8,,,,
ABX58167,161138402.0,,,,B2BRS1,,,,
ACR78476,238928314.0,,,,F8J2D6,,,,
ACR78477,238928316.0,F8J2D7,,,,,,,
ACR78478,238928318.0,,,,F8J2D8,,,,
ACR78479,238928320.0,,,,F8J2D9,,,,
ACR78480,238928322.0,,,,F8J2E0,,,,
ACR78481,238928324.0,F8J2E1,,,,,,,
ACR78482,238928326.0,F8J2E2,,,,,,,
ACR78483,238928328.0,,,,F8J2E3,,,,
ACR78484,238928330.0,F8J2F2,,,,,,,
ACR78485,238928332.0,F8J2E5,,,,,,,
ACR78486,238928334.0,F8J2E6,,,,,,,
ACR78487,238928336.0,,,,F8J2E7,,,,
ACR78488,238928338.0,,,,F8J2E8,,,,
ACR78489,238928340.0,,,,F8J2E9,,,,
ACR78490,238928342.0,,,,F8J2F0,,,,
ACR78491,238928344.0,,,,F8J2F1,,,,
ACR78492,238928346.0,F8J2F2,,,,,,,
ACS74994,241995599.0,,,,C6JUP0,,,,
ACS74999,241995609.0,,,,C6JUP5,,,,
AF026893,2645540.0,O42257,,,,,,,
AF082975,5230698.0,Q9W7K2,,,,,,,
AF082980,5230709.0,Q9W7J7,,,,,,,
AF082981,5230711.0,Q9W7J6,,,,,,,
AF082982,5230713.0,Q9W7J5,,,,,,,
AF142323,5305769.0,P60616,,,,,,,
AF159537,18000260.0,Q8UW29,,,,,,,
AF159538,18000262.0,Q8UW28,,,,,,,
AHZ08823,630870197.0,,,,A0A024AXD8,,,,
AHZ08824,630870218.0,,,,A0A024AXY1,,,,
AHZ08825,630870237.0,,,,A0A024AXH2,,,,
AKM28629,833662028.0,,,,A0A0G3YLL2,,,,
AKN63196,852380472.0,,,,A0A0H4BEF7,,,,
AKN63201,852380493.0,,,,A0A0H4BEG1,,,,
AKO63251,859131791.0,,,,A0A0H4IRB3,,,,
AY057874,24459177.0,Q7T3J2,,,,,,,
AY596926,51105368.0,P82662,,,,,,,
AY596927,51105370.0,Q53B59,,,,,,,
AY596928,51105372.0,Q53B58,,,,,,,
AY596929,51105374.0,Q53B57,,,,,,,
AY596930,51105376.0,Q53B56,,,,,,,
AY596932,51105380.0,Q53B54,,,,,,,
AY596933,51105382.0,Q53B53,,,,,,,
AY742210,54306411.0,Q5UFR8,,,,,,,
CM019150,1783282179.0,,,yes,,WGS:SOZL,,,
CM019151,1783282178.0,,,yes,,WGS:SOZL,,,
DQ085855,71066801.0,Q45Z11,,,,,,,
DQ273567,82570072.0,Q2VBP8,,,,,,,
DQ273568,82570074.0,P82662,,,,,,,
DQ273569,82570076.0,Q2VBP6,,,,,,,
DQ273570,82570078.0,Q2VBP5,,,,,,,
DQ273571,82570080.0,Q2VBP4,,,,,,,
DQ273572,82570082.0,Q2VBP3,,,,,,,
DQ366293,110264418.0,Q06ZW0,,,,,,,
DQ464281,109255011.0,,,,A5X2W6,,,,
DQ464282,109255013.0,,,,A5X2W7,,,,
DQ464283,109255015.0,A5X2W8,,,,,,,
DQ464284,109255017.0,,,,A5X2W9,,,,
DQ508407,110456105.0,P0C552,,,,,,,
DQ508408,110456106.0,P0C553,,,,,,,
DQ508409,110456110.0,P0C554,,,,,,,
DQ508410,110456111.0,P0C555,,,,,,,
DQ835582,113203522.0,A2CKF6,,,,,,,
DQ902574,117606603.0,A8N285,,,,,,,
DQ917499,118151675.0,A8HDJ4,,,,,,,
DQ917500,118151677.0,A8HDJ5,,,,,,,
DQ917503,118151683.0,A8HDJ8,,,,,,,
DQ917504,118151685.0,A8HDJ9,,,,,,,
DQ917507,118151691.0,A8HDK2,,,,,,,
DQ917508,118151693.0,P01384,,,,,,,
DQ917509,118151695.0,A8HDK4,,,,,,,
DQ917510,118151697.0,P14612,,,,,,,
DQ917512,118151701.0,A8HDK7,,,,,,,
DQ917513,118151703.0,A8HDK8,,,,,,,
DQ917515,118151707.0,A6MFK4,,,,,,,
DQ917517,118151711.0,A6MFK6,,,,,,,
DY587910,134768962.0,,,yes,,dbEST,,,
EF405870,125744594.0,P68416,,,,,,,
EF405871,125744596.0,A3FM53,,,,,,,
EF599317,158262793.0,A8S6A4,,,,,,,
EF599319,158262797.0,A8S6B0,,,,,,,
EU003085,161138369.0,B2BRQ5,,,,,,,
EU003086,161138371.0,B2BRQ6,,,,,,,
EU003087,161138373.0,,,,B2BRQ7,,,,
EU003092,161138383.0,,,,B2BRR2,,,,
EU003101,161138401.0,,,,B2BRS1,,,,
EU029669,156485215.0,A7X3M3,,,,,,,
EU029670,156485217.0,A7X3M9,,,,,,,
EU029671,156485219.0,,,,A7X3N6,,,,
EU029672,156485221.0,,,,A7X3P2,,,,
EU029673,156485223.0,,,,A7X3P8,,,,
EU029674,156485225.0,,,,A7X3Q4,,,,
EU029675,156485227.0,,,,A7X3Q9,,,,
EU029676,156485229.0,A7X3R6,,,,,,,
EU029678,156485233.0,A7X3S2,,,,,,,
EU029680,156485237.0,,,,A7X3S8,,,,
EU029681,156485239.0,,,,A7X3T2,,,,
EU029683,156485243.0,,,,A7X3U0,,,,
EU029684,156485245.0,,,,A7X3U4,,,,
EU029686,156485249.0,A7X3V0,,,,,,,
EU029749,156485583.0,A7X4Q3,,,,,,,
EU029750,156485585.0,A7X4R0,,,,,,,
EU029754,156485593.0,A7X4T2,,,,,,,
EU036636,156485813.0,A7X6J0,,,,,,,
EU196555,162145663.0,C1IC47,,,,,,,
EU196556,162145665.0,C1IC48,,,,,,,
F5CPE2,519882270.0,F5CPE2,,,,,,,
F5CPE6,519882279.0,F5CPE6,,,,,,,
F8J2B3,586908191.0,F8J2B3,,,,,,,
FJ752457,238928319.0,,,,F8J2D9,,,,
FJ752459,238928323.0,F8J2E1,,,,,,,
FJ752460,238928325.0,F8J2E2,,,,,,,
FJ752464,238928333.0,F8J2E6,,,,,,,
FJ752465,238928335.0,,,,F8J2E7,,,,
FJ752468,238928341.0,,,,F8J2F0,,,,
FJ752483,238928371.0,F8J2G5,,,,,,,
FJ752485,238928375.0,,,,F8J2G7,,,,
FJ790450,262479329.0,,,,H8PG61,,,,
FJ790454,262479337.0,,,,H8PG65,,,,
FJ790456,262479341.0,,,,H8PG67,,,,
FJ790457,262479343.0,,,,H8PG68,,,,
FL589810,196120726.0,,,yes,,dbEST,,,
FL590511,196121760.0,,,yes,,dbEST,,,
FL590644,196120691.0,,,yes,,dbEST,,,
FL590763,196121338.0,,,yes,,dbEST,,,
FL590874,196121603.0,,,yes,,dbEST,,,
FL590938,196120545.0,,,yes,,dbEST,,,
FL590954,196120561.0,,,yes,,dbEST,,,
FL591005,196120612.0,,,yes,,dbEST,,,
FL591177,196121312.0,,,yes,,dbEST,,,
FL591203,196121668.0,,,yes,,dbEST,,,
GAEP01001951,537445007.0,,,,U3FYR0,TSA:GAEP01,,,
GAEP01001954,537445000.0,,,,U3F5E9,TSA:GAEP01,,,
GAEP01002000,537444885.0,,,,U3FVG5,TSA:GAEP01,,,
GAGZ01000001,476538186.0,,,,R4G2P6,TSA:GAGZ01,,,
GAGZ01000002,476538184.0,,,,R4G2D9,TSA:GAGZ01,,,
GAGZ01000003,476538182.0,,,,R4G7E8,TSA:GAGZ01,,,
GAGZ01000004,476538180.0,,,,R4FI75,TSA:GAGZ01,,,
GAGZ01000005,476538178.0,,,,R4FI75,TSA:GAGZ01,,,
GAGZ01000006,476538176.0,,,,R4FI70,TSA:GAGZ01,,,
GAGZ01000007,476538174.0,,,,R4G2D8,TSA:GAGZ01,,,
GAGZ01000008,476538172.0,,,,R4G7E7,TSA:GAGZ01,,,
GAGZ01000009,476538170.0,,,,R4FI70,TSA:GAGZ01,,,
GAGZ01000010,476538168.0,,,,R4FI70,TSA:GAGZ01,,,
GAGZ01000011,476538166.0,,,,R4G2P2,TSA:GAGZ01,,,
GAGZ01000012,476538164.0,,,,R4G2D7,TSA:GAGZ01,,,
GAHA01000001,476538280.0,,,,R4FJH6,TSA:GAHA01,,,
GAHA01000002,476538278.0,,,,R4G2Q9,TSA:GAHA01,,,
GAHA01000003,476538276.0,,,,R4G2E5,TSA:GAHA01,,,
GAHA01000004,476538274.0,,,,R4G7F4,TSA:GAHA01,,,
GAHA01000009,476538264.0,,,,R4G7F3,TSA:GAHA01,,,
GAHA01000012,476538258.0,,,,R4G2Q5,TSA:GAHA01,,,
GAHA01000013,476538256.0,,,,R4G2E3,TSA:GAHA01,,,
GAHA01000016,476538250.0,,,,R4FJG1,TSA:GAHA01,,,
GAHB01000001,476538352.0,,,,R4G2F2,TSA:GAHB01,,,
GAHB01000005,476538344.0,,,,R4G2S3,TSA:GAHB01,,,
GAHB01000008,476538338.0,,,,R4FIB8,TSA:GAHB01,,,
GAHB01000010,476538334.0,,,,R4G2S0,TSA:GAHB01,,,
GAHB01000013,476538328.0,,,,R4FIB4,TSA:GAHB01,,,
GAHC01000001,476538395.0,,,,R4G2T5,TSA:GAHC01,,,
GAHC01000002,476538393.0,,,,R4G2F6,TSA:GAHC01,,,
GAHC01000003,476538391.0,,,,R4G7G5,TSA:GAHC01,,,
GAHD01000002,476538459.0,,,,R4FJQ3,TSA:GAHD01,,,
GAHD01000003,476538457.0,,,,R4G2U8,TSA:GAHD01,,,
GAHD01000006,476538451.0,,,,R4G7H1,TSA:GAHD01,,,
GAHE01000007,476538526.0,,,,R4G2G9,TSA:GAHE01,,,
GAHE01000012,476538516.0,,,,R4G2G8,TSA:GAHE01,,,
GAHE01000016,476538508.0,,,,R4G2W0,TSA:GAHE01,,,
GAHE01000017,476538506.0,,,,R4G2G7,TSA:GAHE01,,,
GAHE01000022,476538496.0,,,,R4G2G6,TSA:GAHE01,,,
GAHE01000023,476538494.0,,,,R4G7H5,TSA:GAHE01,,,
GAHE01000025,476538490.0,,,,R4FJR7,TSA:GAHE01,,,
GAHF01000004,476538618.0,,,,R4G7I7,TSA:GAHF01,,,
GAHF01000006,476538614.0,,,,R4FJX3,TSA:GAHF01,,,
GAHF01000008,476538610.0,,,,R4G2H7,TSA:GAHF01,,,
GAHF01000013,476538600.0,,,,R4G2H6,TSA:GAHF01,,,
GAHF01000014,476538598.0,,,,R4G7I5,TSA:GAHF01,,,
GAHG01000001,476539343.0,,,,R4FIQ0,TSA:GAHG01,,,
GAHG01000002,476539341.0,,,,R4FK28,TSA:GAHG01,,,
GAHG01000006,476539333.0,,,,R4FIP4,TSA:GAHG01,,,
GAHH01000002,476539488.0,,,,R4G2K6,TSA:GAHH01,,,
GAHH01000009,476539474.0,,,,R4FIW8,TSA:GAHH01,,,
GAHH01000012,476539468.0,,,,R4G2K2,TSA:GAHH01,,,
GAHH01000015,476539462.0,,,,R4FKC0,TSA:GAHH01,,,
GAHH01000017,476539458.0,,,,R4G2K1,TSA:GAHH01,,,
GAHH01000021,476539450.0,,,,R4G330,TSA:GAHH01,,,
GAHH01000022,476539448.0,,,,R4G2J9,TSA:GAHH01,,,
GAHH01000024,476539444.0,,,,R4FIV9,TSA:GAHH01,,,
GAHH01000027,476539438.0,,,,R4G2J7,TSA:GAHH01,,,
GAHH01000029,476539434.0,,,,R4G7K6,TSA:GAHH01,,,
GAHH01000031,476539430.0,,,,R4G326,TSA:GAHH01,,,
GAHH01000033,476539426.0,,,,R4G7K5,TSA:GAHH01,,,
GAHH01000035,476539422.0,,,,R4FK93,TSA:GAHH01,,,
GAHH01000039,476539414.0,,,,R4FIT5,TSA:GAHH01,,,
GAHH01000040,476539412.0,,,,R4FK75,TSA:GAHH01,,,
GAHH01000041,476539410.0,,,,R4G321,TSA:GAHH01,,,
GAHH01000044,476539404.0,,,,R4FIT0,TSA:GAHH01,,,
GAHH01000045,476539402.0,,,,R4FK68,TSA:GAHH01,,,
GAHH01000046,476539400.0,,,,R4G319,TSA:GAHH01,,,
GAHJ01000001,476539602.0,,,,R4G2M2,TSA:GAHJ01,,,
GAHJ01000004,476539596.0,,,,R4FKG7,TSA:GAHJ01,,,
GAHJ01000005,476539594.0,,,,R4G354,TSA:GAHJ01,,,
GAHJ01000006,476539592.0,,,,R4G2M0,TSA:GAHJ01,,,
GAHJ01000007,476539590.0,,,,R4G7L9,TSA:GAHJ01,,,
GAHJ01000008,476539588.0,,,,R4FIZ6,TSA:GAHJ01,,,
GAHJ01000009,476539586.0,,,,R4FKG3,TSA:GAHJ01,,,
GAHJ01000010,476539584.0,,,,R4G352,TSA:GAHJ01,,,
GAHJ01000013,476539578.0,,,,R4FIZ2,TSA:GAHJ01,,,
GAME01026808,673429475.0,,,yes,,TSA:GAME01,,,
GAME01039965,673416318.0,,,yes,,TSA:GAME01,,,
GAMF01005539,673398619.0,,,yes,,TSA:GAMF01,,,
GAMF01035612,673368030.0,,,yes,,TSA:GAMF01,,,
GAMF01040875,673362767.0,,,yes,,TSA:GAMF01,,,
GAMF01047773,673355869.0,,,yes,,TSA:GAMF01,,,
GAMF01050194,673353448.0,,,yes,,TSA:GAMF01,,,
