identifier,major_group,taxon_id,species,uniprot_id,InterPro_id
InterPro|IPR035076_A0A016W8Q2|Ancylostoma_ceylanicum,Snake toxin/toxin-like domain-containing protein,53326,Ancylostoma ceylanicum,A0A016W8Q2,IPR035076
InterPro|IPR035076_A0A016W9C2|Ancylostoma_ceylanicum,Snake toxin/toxin-like domain-containing protein,53326,Ancylostoma ceylanicum,A0A016W9C2,IPR035076
InterPro|IPR035076_A0A087R7J0|Aptenodytes_forsteri,UPAR/Ly6 domain-containing protein,9233,Aptenodytes forsteri,A0A087R7J0,IPR035076
InterPro|IPR035076_A0A087R7J1|Aptenodytes_forsteri,UPAR/Ly6 domain-containing protein,9233,Aptenodytes forsteri,A0A087R7J1,IPR035076
InterPro|IPR035076_A0A087R7J2|Aptenodytes_forsteri,UPAR/Ly6 domain-containing protein,9233,Aptenodytes forsteri,A0A087R7J2,IPR035076
InterPro|IPR035076_A0A087VKX6|Balearica_regulorum_gibbericeps,UPAR/Ly6 domain-containing protein,100784,Balearica regulorum gibbericeps,A0A087VKX6,IPR035076
InterPro|IPR035076_A0A087VKX7|Balearica_regulorum_gibbericeps,UPAR/Ly6 domain-containing protein,100784,Balearica regulorum gibbericeps,A0A087VKX7,IPR035076
InterPro|IPR035076_A0A087VKX8|Balearica_regulorum_gibbericeps,UPAR/Ly6 domain-containing protein,100784,Balearica regulorum gibbericeps,A0A087VKX8,IPR035076
InterPro|IPR035076_A0A087WQU7|Mus_musculus,UPAR/Ly6 domain-containing protein,10090,Mus musculus,A0A087WQU7,IPR035076
InterPro|IPR035076_A0A087WZS0|Homo_sapiens,Snake toxin/toxin-like domain-containing protein,9606,Homo sapiens,A0A087WZS0,IPR035076
InterPro|IPR035076_A0A091D6W9|Fukomys_damarensis,UPAR/Ly6 domain-containing protein,885580,Fukomys damarensis,A0A091D6W9,IPR035076
InterPro|IPR035076_A0A091D8L2|Fukomys_damarensis,UPAR/Ly6 domain-containing protein,885580,Fukomys damarensis,A0A091D8L2,IPR035076
InterPro|IPR035076_A0A091D8L9|Fukomys_damarensis,UPAR/Ly6 domain-containing protein,885580,Fukomys damarensis,A0A091D8L9,IPR035076
InterPro|IPR035076_A0A091D988|Fukomys_damarensis,UPAR/Ly6 domain-containing protein,885580,Fukomys damarensis,A0A091D988,IPR035076
InterPro|IPR035076_A0A091DVJ4|Fukomys_damarensis,UPAR/Ly6 domain-containing protein,885580,Fukomys damarensis,A0A091DVJ4,IPR035076
InterPro|IPR035076_A0A091GCJ1|Cuculus_canorus,UPAR/Ly6 domain-containing protein,55661,Cuculus canorus,A0A091GCJ1,IPR035076
