Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A016W8Q2	unreviewed	Snake toxin/toxin-like domain-containing protein	53326	Ancylostoma ceylanicum	213	IPR035076	105..176
A0A016W9C2	unreviewed	Snake toxin/toxin-like domain-containing protein	53326	Ancylostoma ceylanicum	212	IPR035076	104..175
A0A024AXD8	unreviewed	Snake toxin/toxin-like domain-containing protein	66188	Micropechis ikaheca	104	IPR035076	30..85
A0A024AXY1	unreviewed	Snake toxin/toxin-like domain-containing protein	66188	Micropechis ikaheca	103	IPR035076	30..85
A0A087R7J0	unreviewed	UPAR/Ly6 domain-containing protein	9233	Aptenodytes forsteri	103	IPR035076	22..97
A0A087R7J1	unreviewed	UPAR/Ly6 domain-containing protein	9233	Aptenodytes forsteri	112	IPR035076	8..82
A0A087R7J2	unreviewed	UPAR/Ly6 domain-containing protein	9233	Aptenodytes forsteri	109	IPR035076	5..80
A0A087VKX6	unreviewed	UPAR/Ly6 domain-containing protein	100784	Balearica regulorum gibbericeps	109	IPR035076	5..80
A0A087VKX7	unreviewed	UPAR/Ly6 domain-containing protein	100784	Balearica regulorum gibbericeps	112	IPR035076	8..82
A0A087VKX8	unreviewed	UPAR/Ly6 domain-containing protein	100784	Balearica regulorum gibbericeps	86	IPR035076	5..80
A0A087WQU7	unreviewed	UPAR/Ly6 domain-containing protein	10090	Mus musculus	115	IPR035076	17..85
A0A087WZS0	unreviewed	Snake toxin/toxin-like domain-containing protein	9606	Homo sapiens	82	IPR035076	21..70
A0A091D6W9	unreviewed	UPAR/Ly6 domain-containing protein	885580	Fukomys damarensis	119	IPR035076	21..89
A0A091D8L2	unreviewed	UPAR/Ly6 domain-containing protein	885580	Fukomys damarensis	126	IPR035076	24..97
A0A091D8L9	unreviewed	UPAR/Ly6 domain-containing protein	885580	Fukomys damarensis	130	IPR035076	21..98
A0A091D988	unreviewed	UPAR/Ly6 domain-containing protein	885580	Fukomys damarensis	116	IPR035076	21..92
A0A091DVJ4	unreviewed	UPAR/Ly6 domain-containing protein	885580	Fukomys damarensis	172	IPR035076	63..136
A0A091GCJ1	unreviewed	UPAR/Ly6 domain-containing protein	55661	Cuculus canorus	109	IPR035076	6..80
A0A091GFH0	unreviewed	UPAR/Ly6 domain-containing protein	55661	Cuculus canorus	112	IPR035076	9..82
A0A091GWY9	unreviewed	UPAR/Ly6 domain-containing protein	175836	Buceros rhinoceros silvestris	112	IPR035076	8..82
A0A091GZ52	unreviewed	UPAR/Ly6 domain-containing protein	175836	Buceros rhinoceros silvestris	109	IPR035076	6..80
A0A091H195	unreviewed	UPAR/Ly6 domain-containing protein	55661	Cuculus canorus	85	IPR035076	3..79
A0A091H366	unreviewed	Snake toxin/toxin-like domain-containing protein	175836	Buceros rhinoceros silvestris	108	IPR035076	22..102
A0A091I558	unreviewed	UPAR/Ly6 domain-containing protein	9244	Calypte anna	87	IPR035076	5..81
A0A091I657	unreviewed	UPAR/Ly6 domain-containing protein	9244	Calypte anna	109	IPR035076	5..80
A0A091I8A5	unreviewed	UPAR/Ly6 domain-containing protein	9244	Calypte anna	110	IPR035076	7..80
A0A091J8U2	unreviewed	UPAR/Ly6 domain-containing protein	188379	Egretta garzetta	112	IPR035076	8..82
A0A091JB11	unreviewed	UPAR/Ly6 domain-containing protein	188379	Egretta garzetta	109	IPR035076	5..80
A0A091JZU8	unreviewed	Snake toxin/toxin-like domain-containing protein	188379	Egretta garzetta	108	IPR035076	22..102
A0A091K7R3	unreviewed	UPAR/Ly6 domain-containing protein	57412	Colius striatus	112	IPR035076	8..82
A0A091KDX8	unreviewed	UPAR/Ly6 domain-containing protein	187382	Chlamydotis macqueenii	112	IPR035076	8..82
A0A091KFV6	unreviewed	UPAR/Ly6 domain-containing protein	187382	Chlamydotis macqueenii	109	IPR035076	6..80
A0A091L5T8	unreviewed	Snake toxin/toxin-like domain-containing protein	187382	Chlamydotis macqueenii	108	IPR035076	22..102
A0A091LID6	unreviewed	UPAR/Ly6 domain-containing protein	43455	Cathartes aura	103	IPR035076	22..97
A0A091M250	unreviewed	UPAR/Ly6 domain-containing protein	54380	Cariama cristata	109	IPR035076	5..80
A0A091M4D5	unreviewed	UPAR/Ly6 domain-containing protein	54380	Cariama cristata	112	IPR035076	8..82
A0A091NEG9	unreviewed	UPAR/Ly6 domain-containing protein	57068	Acanthisitta chloris	112	IPR035076	8..82
A0A091NFX1	unreviewed	UPAR/Ly6 domain-containing protein	57068	Acanthisitta chloris	105	IPR035076	5..76
A0A091NXF3	unreviewed	UPAR/Ly6 domain-containing protein	8969	Haliaeetus albicilla	112	IPR035076	8..82
A0A091NZX3	unreviewed	UPAR/Ly6 domain-containing protein	8969	Haliaeetus albicilla	109	IPR035076	6..80
A0A091P2W5	unreviewed	UPAR/Ly6 domain-containing protein	8969	Haliaeetus albicilla	111	IPR035076	8..81
A0A091PDK3	unreviewed	Snake toxin/toxin-like domain-containing protein	8969	Haliaeetus albicilla	108	IPR035076	22..102
A0A091PG78	unreviewed	UPAR/Ly6 domain-containing protein	188344	Leptosomus discolor	112	IPR035076	8..82
A0A091PH16	unreviewed	UPAR/Ly6 domain-containing protein	188344	Leptosomus discolor	109	IPR035076	5..80
A0A091QAN4	unreviewed	UPAR/Ly6 domain-containing protein	188344	Leptosomus discolor	103	IPR035076	21..97
A0A091RF36	unreviewed	UPAR/Ly6 domain-containing protein	54374	Mesitornis unicolor	109	IPR035076	5..80
A0A091RG39	unreviewed	UPAR/Ly6 domain-containing protein	54374	Mesitornis unicolor	109	IPR035076	7..80
A0A091RG59	unreviewed	Snake toxin/toxin-like domain-containing protein	54374	Mesitornis unicolor	93	IPR035076	11..87
A0A091RGT8	unreviewed	UPAR/Ly6 domain-containing protein	54374	Mesitornis unicolor	112	IPR035076	8..82
A0A091RNS0	unreviewed	UPAR/Ly6 domain-containing protein	176057	Nestor notabilis	115	IPR035076	11..86
A0A091RQD5	unreviewed	UPAR/Ly6 domain-containing protein	176057	Nestor notabilis	112	IPR035076	8..82
A0A091SN42	unreviewed	UPAR/Ly6 domain-containing protein	36300	Pelecanus crispus	103	IPR035076	22..97
A0A091SUW0	unreviewed	UPAR/Ly6 domain-containing protein	176057	Nestor notabilis	95	IPR035076	14..89
A0A091TQW1	unreviewed	UPAR/Ly6 domain-containing protein	97097	Phaethon lepturus	114	IPR035076	10..85
A0A091TS36	unreviewed	UPAR/Ly6 domain-containing protein	97097	Phaethon lepturus	112	IPR035076	8..82
A0A091UHU1	unreviewed	UPAR/Ly6 domain-containing protein	9218	Phoenicopterus ruber ruber	112	IPR035076	8..82
A0A091USG9	unreviewed	Snake toxin/toxin-like domain-containing protein	97097	Phaethon lepturus	108	IPR035076	22..102
A0A091VE64	unreviewed	Snake toxin/toxin-like domain-containing protein	9218	Phoenicopterus ruber ruber	108	IPR035076	22..102
A0A091VLC9	unreviewed	UPAR/Ly6 domain-containing protein	9218	Phoenicopterus ruber ruber	108	IPR035076	5..80
A0A091VWN8	unreviewed	UPAR/Ly6 domain-containing protein	128390	Nipponia nippon	109	IPR035076	5..80
